0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
9652.32,9444.525,9501.755,9444.812,9281.575,9289.926,9241.851,9182.231,8666.965,8174.6396,7981.6113,7737.289,7318.5156,7238.9766,7359.2046,7679.455
9753.553,9368.217,9410.297,9242.92,8833.763,8726.293,8758.771,8915.748,8553.174,8127.4277,7938.4077,7823.0938,7665.5674,7426.0894,7502.9634,7553.7847
9701.537,9338.324,9506.787,9433.441,9324.024,9259.124,9080.124,8993.7,8477.492,8132.2144,7895.493,7687.4634,7492.2866,7557.0825,7567.533,7707.5146
9775.714,9467.271,9524.132,9465.332,9079.688,8834.681,8912.188,9060.305,8509.219,8138.2676,7901.1045,7631.9272,7299.3955,7162.925,7287.995,7534.2417
9740.639,9481.559,9607.629,9555.419,9195.881,9109.09,9117.495,8981.143,8398.362,7855.9585,7824.0244,7821.469,7447.714,7274.473,7409.86,7473.1836
9673.38,9411.805,9508.939,9360.21,9029.733,9071.631,9274.432,9247.207,8721.338,8297.028,8019.2056,7746.1353,7487.2827,7482.9272,7605.331,7716.3945
9762.41,9437.143,9525.425,9418.398,9224.357,9225.436,9046.531,9080.201,8603.547,8028.006,7693.3022,7512.4336,7376.5244,7257.1377,7357.8296,7643.799
9745.908,9420.135,9442.873,9473.931,9170.601,9165.805,9345.295,9286.311,8744.201,8295.497,7920.8574,7620.9834,7383.344,7290.8247,7432.602,7673.367
9751.197,9375.139,9274.527,9219.756,8999.332,8984.397,9137.346,9037.326,8411.2705,8191.1353,7988.074,7846.626,7557.914,7441.395,7476.4814,7650.8423
9775.992,9504.723,9576.95,9339.34,8665.796,8313.059,8169.537,8454.748,8158.0396,7795.308,7435.063,7072.1787,6622.6943,6423.984,6850.5547,7420.604
9768.067,9478.926,9531.558,9611.553,9380.032,9251.528,9273.442,9293.121,8802.146,8365.245,8089.284,7858.374,7560.328,7491.5186,7528.393,7716.878
9616.605,9290.481,9426.383,9330.64,9068.595,8998.043,9058.259,8967.666,8332.425,8007.0166,7750.346,7368.71,6960.482,7029.7036,7212.013,7637.447
9467.298,8792.859,8997.882,9266.998,9009.382,9078.642,9043.4795,8913.887,8429.3545,7785.6895,7055.301,6637.5303,6323.4126,6423.3784,7005.7573,7336.1846
9761.686,9305.219,9179.225,9007.731,8944.956,9140.111,9156.938,9205.662,8759.079,8322.375,7854.758,7492.5,7144.9004,7086.5903,7339.512,7541.2515
9597.771,9185.6045,9396.321,9236.925,9093.822,9203.797,9220.133,8872.479,8040.888,7544.759,7309.5083,7347.64,7150.4014,7141.0513,7369.1597,7421.6606
9556.762,9333.794,9228.519,9135.24,8804.132,8936.391,9166.501,9180.834,8690.443,8375.94,8174.546,7994.513,7769.2383,7660.53,7598.4956,7595.702
9758.834,9312.23,9246.914,9421.48,9287.543,9072.658,9190.312,9129.443,8606.809,8103.598,7830.208,7574.6147,7575.637,7636.1885,7514.593,7628.343
9725.922,9236.91,9357.552,9292.401,8804.4795,8700.054,8792.957,8943.723,8378.335,8069.7656,8033.7705,7587.0664,7043.167,6708.189,6816.5366,7278.2734
9754.502,9414.028,9422.927,9320.107,9112.975,8990.176,9073.229,9080.096,8464.516,8230.047,8047.2544,7871.8423,7775.9697,7681.879,7633.1895,7749.6143
9638.082,9070.777,9271.502,9399.262,9248.439,9212.172,9223.264,9129.179,8605.729,8237.313,7936.59,7740.716,7275.2656,7175.977,7306.5728,7439.159
9754.852,9048.836,8898.625,8863.061,8850.547,9106.884,9102.477,9029.409,8399.037,8048.0874,7970.7007,7769.5664,7579.4263,7623.0146,7598.4775,7645.886
9742.708,9498.574,9593.833,9606.552,9275.713,9113.344,9094.375,9218.453,8635.62,8135.959,7962.6567,7653.826,7217.7,7395.647,7556.9014,7689.412
