,renewable_phy_id,periodid,renewableP
0,300000GN000000048,2023-06-01 00:15:00,5.06
1,300000GN000000049,2023-06-01 00:15:00,6.55
2,300000GN000000050,2023-06-01 00:15:00,2.77
3,300000GN000000055,2023-06-01 00:15:00,10.57
4,300000GN000000056,2023-06-01 00:15:00,0.0
5,300000GN000000057,2023-06-01 00:15:00,0.0
6,300000GN000000058,2023-06-01 00:15:00,0.0
7,300000GN000000059,2023-06-01 00:15:00,8.02
8,300000GN000000060,2023-06-01 00:15:00,4.0
9,300000GN000000061,2023-06-01 00:15:00,5.38
10,300000GN000000062,2023-06-01 00:15:00,0.0
11,300000GN000000063,2023-06-01 00:15:00,0.0
12,300000GN000000064,2023-06-01 00:15:00,1.46
13,300000GN000000065,2023-06-01 00:15:00,0.85
14,300000GN000000066,2023-06-01 00:15:00,1.27
15,300000GN000000077,2023-06-01 00:15:00,38.35
16,300000GN000000078,2023-06-01 00:15:00,0.0
17,300000GN000000079,2023-06-01 00:15:00,2.1
18,300000GN000000080,2023-06-01 00:15:00,0.49
19,300000GN000000081,2023-06-01 00:15:00,5.54
20,300000GN000000112,2023-06-01 00:15:00,0.0
21,300000GN000000113,2023-06-01 00:15:00,0.0
22,300000GN000000114,2023-06-01 00:15:00,0.0
23,300000GN000000121,2023-06-01 00:15:00,0.63
24,300000GN000000122,2023-06-01 00:15:00,0.0
25,300000GN000000123,2023-06-01 00:15:00,3.76
26,300000GN000000124,2023-06-01 00:15:00,8.9
27,300000GN000000125,2023-06-01 00:15:00,7.83
28,300000GN000000128,2023-06-01 00:15:00,0.0
29,300000GN000000129,2023-06-01 00:15:00,0.0
30,300000GN000000130,2023-06-01 00:15:00,0.22
31,300000GN000000131,2023-06-01 00:15:00,0.0
32,300000GN000000132,2023-06-01 00:15:00,9.21
33,300000GN000000137,2023-06-01 00:15:00,22.03
34,300000GN000000138,2023-06-01 00:15:00,0.0
35,300000GN000000139,2023-06-01 00:15:00,0.0
